Source IP,Destination IP,Source Port,Destination Port,Protocol,Latency (ms)
10.0.2.15,52.35.150.14,52616,443,TCP,13048652.092
10.0.2.15,52.35.150.14,52626,443,TCP,260.309
10.0.2.15,1.1.1.1,35715,53,UDP,13049025.536
10.0.2.15,1.1.1.1,36585,53,UDP,0.186
10.0.2.15,1.1.1.1,44477,53,UDP,13049074.116
10.0.2.15,1.1.1.1,50476,53,UDP,0.133
1.1.1.1,10.0.2.15,53,36585,UDP,13049107.079
1.1.1.1,10.0.2.15,53,44477,UDP,39.761
1.1.1.1,10.0.2.15,53,50476,UDP,13049148.312
10.0.2.15,142.250.201.65,59405,443,UDP,13049412.210
10.0.2.15,142.250.201.65,59405,443,UDP,2.652
10.0.2.15,142.250.201.65,45590,443,TCP,13049513.897
142.250.201.65,10.0.2.15,443,59405,UDP,19.951
142.250.201.65,10.0.2.15,443,59405,UDP,13049534.320
142.250.201.65,10.0.2.15,443,59405,UDP,0.233
142.250.201.65,10.0.2.15,443,59405,UDP,13049535.430
142.250.201.65,10.0.2.15,443,59405,UDP,0.227
10.0.2.15,142.250.201.65,59405,443,UDP,13049548.380
142.250.201.65,10.0.2.15,443,45590,TCP,59.293
142.250.201.65,10.0.2.15,443,59405,UDP,13049738.738
142.250.201.65,10.0.2.15,443,59405,UDP,1.086
10.0.2.15,142.250.201.65,59405,443,UDP,13049760.303
10.0.2.15,1.1.1.1,44059,53,UDP,929.589
10.0.2.15,1.1.1.1,53266,53,UDP,13050078.110
1.1.1.1,10.0.2.15,53,44059,UDP,47.055
1.1.1.1,10.0.2.15,53,53266,UDP,13050129.872
10.0.2.15,1.1.1.1,44010,53,UDP,645.916
10.0.2.15,1.1.1.1,45276,53,UDP,13050775.961
1.1.1.1,10.0.2.15,53,45276,UDP,63.401
1.1.1.1,10.0.2.15,53,44010,UDP,13050839.389
10.0.2.15,1.1.1.1,57246,53,UDP,0.432
1.1.1.1,10.0.2.15,53,57246,UDP,13050874.112
10.0.2.15,192.168.8.1,43725,53,UDP,13054030.085
192.168.8.1,10.0.2.15,53,43725,UDP,49.114
10.0.2.15,192.168.8.1,43514,53,UDP,13054080.336
10.0.2.15,142.250.200.118,45410,443,TCP,13054081.610
142.250.200.118,10.0.2.15,443,45410,TCP,37.378
192.168.8.1,10.0.2.15,53,43514,UDP,45.241
10.0.2.15,142.250.200.118,34077,443,UDP,13054129.631
