Source IP,Destination IP,Source Port,Destination Port,Protocol,Latency (ms)
10.0.2.15,140.82.113.25,56242,443,TCP,0.460
8.8.8.8,10.0.2.15,53,36409,UDP,78.763
10.0.2.15,52.35.150.14,33136,443,TCP,278.748
10.0.2.15,52.35.150.14,33136,443,TCP,287.456
10.0.2.15,20.65.133.225,35430,443,TCP,0.151
10.0.2.15,52.35.150.14,33136,443,TCP,292.625
10.0.2.15,52.35.150.14,33136,443,TCP,275.185
10.0.2.15,52.35.150.14,33136,443,TCP,276.626
10.0.2.15,52.35.150.14,33136,443,TCP,287.278
10.0.2.15,52.35.150.14,33136,443,TCP,280.667
10.0.2.15,52.35.150.14,33136,443,TCP,251.825
185.125.190.57,10.0.2.15,123,39063,UDP,101.842
52.114.76.238,10.0.2.15,443,35140,TCP,0.456
10.0.2.15,52.114.76.238,35140,443,TCP,0.040
52.123.134.108,10.0.2.15,443,48312,TCP,0.438
10.0.2.15,52.123.134.108,48312,443,TCP,0.049
10.0.2.15,52.35.150.14,33136,443,TCP,259.930
10.0.2.15,20.65.133.225,35430,443,TCP,0.885
8.8.8.8,10.0.2.15,53,49577,UDP,95.240
10.0.2.15,52.35.150.14,51538,443,TCP,262.982
10.0.2.15,52.35.150.14,51538,443,TCP,260.997
10.0.2.15,52.35.150.14,51538,443,TCP,262.243
10.0.2.15,52.35.150.14,51538,443,TCP,262.655
10.0.2.15,52.35.150.14,51538,443,TCP,252.490
10.0.2.15,52.35.150.14,51538,443,TCP,255.804
10.0.2.15,52.35.150.14,51538,443,TCP,251.900
10.0.2.15,8.8.8.8,43435,53,UDP,0.116
8.8.8.8,10.0.2.15,53,43435,UDP,3.059
8.8.8.8,10.0.2.15,53,56257,UDP,56.426
20.52.64.200,10.0.2.15,443,44696,TCP,66.179
10.0.2.15,20.52.64.200,44696,443,TCP,0.800
20.52.64.200,10.0.2.15,443,44696,TCP,68.141
10.0.2.15,20.52.64.200,44696,443,TCP,1.907
20.52.64.200,10.0.2.15,443,44696,TCP,86.637
10.0.2.15,20.52.64.200,44696,443,TCP,0.333
20.52.64.200,10.0.2.15,443,44696,TCP,1.470
20.52.64.200,10.0.2.15,443,44696,TCP,3.583
10.0.2.15,20.52.64.200,44696,443,TCP,0.245
20.52.64.200,10.0.2.15,443,44696,TCP,0.182
10.0.2.15,20.52.64.200,44696,443,TCP,0.060
20.52.64.200,10.0.2.15,443,44696,TCP,0.018
20.52.64.200,10.0.2.15,443,44696,TCP,59.122
10.0.2.15,20.52.64.200,44696,443,TCP,0.697
20.52.64.200,10.0.2.15,443,44696,TCP,0.522
20.52.64.200,10.0.2.15,443,44696,TCP,44.243
10.0.2.15,20.65.133.225,35430,443,TCP,0.557
10.0.2.15,52.35.150.14,51538,443,TCP,255.429
10.0.2.15,20.52.64.200,44696,443,TCP,4668.837
20.52.64.200,10.0.2.15,443,44696,TCP,0.737
20.52.64.200,10.0.2.15,443,44696,TCP,0.342
10.0.2.15,20.52.64.200,44696,443,TCP,45.273
10.0.2.15,52.35.150.14,52832,443,TCP,289.668
10.0.2.15,20.52.64.200,44696,443,TCP,0.141
20.52.64.200,10.0.2.15,443,44696,TCP,0.026
20.52.64.200,10.0.2.15,443,44696,TCP,0.004
20.52.64.200,10.0.2.15,443,44696,TCP,0.081
10.0.2.15,20.52.64.200,44696,443,TCP,40.759
10.0.2.15,20.52.64.200,44696,443,TCP,0.051
20.52.64.200,10.0.2.15,443,44696,TCP,0.453
10.0.2.15,52.35.150.14,52832,443,TCP,274.048
52.123.134.108,10.0.2.15,443,48312,TCP,1.153
10.0.2.15,52.123.134.108,48312,443,TCP,0.044
10.0.2.15,20.52.64.200,44696,443,TCP,0.063
20.52.64.200,10.0.2.15,443,44696,TCP,0.026
20.52.64.200,10.0.2.15,443,44696,TCP,81.134
20.52.64.200,10.0.2.15,443,44696,TCP,0.417
